max_value,0.9936026640960477,0.9993639014047178,0.9986328421692238,1.0,1.0
index_set,78,79,79,79,73
mean_value,0.6969205000140636,0.729529912518946,0.6889117928455428,0.6746718817453536,0.6793652201572361

experiment,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
54,0.8587537091988131,0.9885690315138168,0.870691618584877,0.890131888836552,0.8487557158942072,0.984335,0.0142966,0.0842269,5,0.0089428,0.0398672,0.109064,36,2.33482,0.792503,0.00806797
55,0.8270749085307144,0.8483370288248337,0.83604677395097,0.7447457973681519,0.7085720509748393,0.985507,0.0409647,0.0658723,41,0.00732353,0.0177738,0.366702,33,1.46228,0.470506,0.000999857
56,0.8552731571392383,0.8768568579077214,0.8695034116755118,0.8888758231420508,0.8781708865307687,0.982081,0.0331269,0.073715,99,0.000777758,0.031576,0.289147,8,2.87058,0.716957,0.00677561
57,0.8640279791862151,0.882502113271344,0.8303930069187621,0.8915492127145132,0.7959141582449551,0.98997,0.0368327,0.0883869,51,0.00908292,0.0379089,0.118797,83,0.671904,0.0511399,0.00884126
58,0.7415464813205908,0.8654103692366558,0.7554655251490597,0.775162795467364,0.7667652706419638,0.997815,0.0184333,0.250584,40,0.00710986,0.0244139,0.281695,41,2.26836,0.558546,0.00116935
59,0.9745726312172494,0.8898112409453814,0.8712869406670212,0.8549696027145482,0.8541334258295756,0.989287,0.0138197,0.100418,56,0.0017233,0.0248347,0.188853,65,0.86659,0.71292,0.00595549
60,0.8580029242280898,0.8900936161210133,0.8713365875895078,0.8558165864704217,0.8883998364480362,0.990034,0.0147587,0.123629,72,0.00876237,0.0211568,0.39706,97,2.17553,0.681198,0.00402558
61,0.6270258293238795,0.827464973500551,0.8902692569870484,0.6831544467563503,0.7976720079471342,0.98239,0.0235448,0.180083,15,0.000263441,0.0489491,0.422734,11,1.27757,0.283138,0.00427375
62,0.4285597414815724,0.5246910306052087,0.2397322786735625,0.5125735055110665,0.3432952307766197,0.987569,0.0450757,0.111373,13,0.00036168,0.0280377,0.110852,5,2.13487,0.207694,0.00772386
63,0.871327034757736,0.891791637963012,0.8652121027824236,0.8666745464216064,0.8691957730544255,0.993798,0.0475809,0.278543,38,0.00846157,0.0380127,0.219224,70,1.61866,0.773448,0.00593042
64,0.5829229122055675,0.7001262626262627,0.6162073723153563,0.639035329294201,0.624795905551369,0.983291,0.010802,0.0995178,68,0.00866636,0.0488647,0.320055,88,1.34825,0.241197,0.00940637
65,0.4134927219247304,0.45519406048168043,0.41544661614799194,0.47406823687359545,0.4528226746997548,0.980692,0.00836615,0.109097,58,0.00672549,0.041456,0.238123,7,1.70356,0.191554,0.00619696
66,0.46866608832155987,0.4766154312872889,0.46750522245433135,0.5207341002654765,0.5123290714320976,0.981273,0.00328001,0.205137,95,0.00117935,0.0258542,0.38996,96,1.94525,0.363969,0.00137266
67,0.777059159216283,0.7185250630148377,0.7070168603003684,0.7966175827380084,0.6619985335707552,0.981958,0.0206681,0.24736,21,0.0011443,0.0278233,0.420709,69,2.43482,0.178603,0.00893851
