max_value,0.965948575399583,0.9717560714138457,0.9688089961421653,0.957091438508513
index_set,33,73,73,113
mean_value,0.5491821462239413,0.4497280441028175,0.41311160079428416,0.32049538037521547

experiment,N10_CE,N30_CE,N50_CE,N70_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
35,0.5757052389176742,0.37104072398190047,0.2782366315140461,0.1572740224790249,0.948912,0.161697,0.436476,38,0.00156644,0.0397054,0.0173329,0.264947,76
36,0.8518107175439292,0.876166400237927,0.8446722460257078,0.755649221402646,0.978657,0.122589,0.28608,87,0.00280176,0.019297,0.0184291,0.237576,69
37,0.799667892302218,0.7562546348698334,0.7381193945050931,0.6664508296236342,0.996721,0.170839,0.0158518,15,0.00253342,0.00870963,0.0222456,0.254634,76
38,0.20874535063049982,0.11383357295076113,0.06920206263540074,0.03322835303205185,0.914317,0.00563482,0.398691,84,0.00456858,0.0554176,0.0212947,0.196241,94
39,0.21453891384152568,0.10451138977517249,0.06999063453353482,0.029710365514117876,0.91016,0.197713,0.137892,95,0.00425888,0.0773222,0.0343695,0.345278,26
40,0.24953988565205554,0.12169197631752693,0.0772741531280916,0.03807232409611738,0.921071,0.0828695,0.268621,52,0.00763702,0.0206409,0.0466601,0.17901,21
41,0.21058139752191218,0.09428637911704352,0.0728193599235113,0.0324463830370203,0.916179,0.026614,0.335622,8,0.00527551,0.0636886,0.0397154,0.355044,58
42,0.34838927513544204,0.15771038203811683,0.10477206948140627,0.0464484736827705,0.930456,0.0150489,0.00539136,73,0.00112164,0.0106232,0.0431038,0.340715,20
43,0.8691797812207718,0.7799261992619926,0.7556383366400777,0.5766446583406253,0.977825,0.020818,0.418362,6,0.00506547,0.0593917,0.0395183,0.417058,98
44,0.3601911085917888,0.15945130159989795,0.1211452550312283,0.05778119986506214,0.933308,0.196391,0.075927,100,0.00237022,0.0667277,0.0318223,0.317325,42
45,0.2226475563073088,0.10433196870409345,0.059395817439656495,0.02761747481703114,0.916703,0.173951,0.457913,26,0.00214157,0.0515496,0.0204095,0.311036,73
46,0.8289226432821798,0.7824701195219124,0.7775984742903249,0.6913616312699016,0.967288,0.0454516,0.175896,77,0.00366579,0.0367773,0.0479672,0.0497708,39
47,0.7836791861708009,0.6831257366761174,0.6809750468772537,0.436124969330171,0.962652,0.0223315,0.274788,86,0.00297646,0.0752711,0.0370095,0.280177,22
48,0.7421249332621462,0.5064959517981548,0.471375227141117,0.26574839528379757,0.957656,0.0175933,0.171178,76,0.00769261,0.00576167,0.0201288,0.159517,79
49,0.6762828768495464,0.46437578814628,0.40546900496401517,0.22357104140886264,0.953851,0.118123,0.409125,28,0.00241499,0.0709023,0.0418404,0.48287,11
50,0.8292491668300334,0.8028259961256505,0.7495159166602122,0.7645615301335258,0.972958,0.0560303,0.1504,11,0.00854056,0.0334594,0.0373556,0.220655,4
51,0.8091667304307905,0.810176199718385,0.7984707396472103,0.7624187764087633,0.972402,0.0494434,0.474102,59,0.00670366,0.00973531,0.0329768,0.307567,33
52,0.8272032566776175,0.949633330647111,0.8294274929223027,0.7894591720171742,0.982112,0.116739,0.491928,3,0.00359432,0.0297938,0.0298237,0.118027,74
53,0.3860006374614867,0.1823482992067118,0.14138382351090473,0.0699125235231518,0.936534,0.0372885,0.371655,83,0.00542505,0.0506747,0.0249803,0.273686,66
54,0.7691471238537098,0.6628198695434019,0.7645420391242389,0.5217562222058426,0.96389,0.0780038,0.0491043,55,0.00143461,0.0945582,0.0412713,0.101677,31
55,0.26736879899467414,0.12404801208695893,0.08580271176867915,0.04190942120764163,0.926537,0.158173,0.308849,5,0.00520767,0.0246876,0.040378,0.137764,92
56,0.2829199257003501,0.11216153254380168,0.0730422127073439,0.029096082864565553,0.922359,0.0471237,0.0396556,67,0.000554499,0.0416063,0.0198034,0.115206,82
57,0.33427092372602407,0.158789482868943,0.11751309257685005,0.055049427711210575,0.932438,0.0585608,0.0808559,47,0.00826397,0.0521698,0.0362836,0.385671,30
58,0.3785960874568469,0.2011602597378942,0.15291042872018368,0.07727031238300341,0.938807,0.125878,0.15768,71,0.00464134,0.0391568,0.0244651,0.321005,24
59,0.21770580138811613,0.11115642063594677,0.07294855521541099,0.030467813535922983,0.91582,0.00755718,0.0834752,53,0.00751048,0.0451068,0.0436668,0.00107257,71
60,0.24180732723446297,0.10740484429065744,0.07183078642136576,0.034486865309300785,0.922963,0.148206,0.0541043,59,0.00382271,0.0647691,0.0243547,0.190591,41
61,0.186291360335472,0.12298001905045064,0.06941178975414952,0.03555655491912879,0.911368,0.101978,0.49953,33,0.00914112,0.084208,0.022367,0.125498,18
62,0.2529966437589899,0.11772448590793105,0.06922762512525715,0.02320480051631668,0.910861,0.10846,0.0998421,34,0.000173044,0.090152,0.0257543,0.325841,65
63,0.23053490553667078,0.11370126318008222,0.06869958041194268,0.03282477970945463,0.921747,0.0723979,0.200474,31,0.00603046,0.034011,0.0125497,0.212629,63
64,0.7461795187071842,0.566943280006844,0.5658683391922308,0.5162627342335464,0.960032,0.00329608,0.0675619,24,0.000161019,0.0995788,0.0260984,0.493569,57
65,0.2809927662758793,0.14102548034140905,0.09469334547779107,0.04265314506557927,0.92718,0.172663,0.342909,60,0.00610389,0.0936169,0.044018,0.00682949,6
66,0.6206339125916518,0.4878070952932888,0.4191466896093231,0.2420337573974206,0.955652,0.100975,0.319667,14,0.00870083,0.0829209,0.0485161,0.333139,47
67,0.4210688671242384,0.2746505340494405,0.187830642537965,0.09729997654462497,0.94311,0.0608063,0.302864,13,0.00802621,0.036032,0.0118263,0.302941,90
68,0.5156752124544741,0.33884399102725626,0.24645291962039195,0.12763832087622806,0.946583,0.153034,0.105589,61,0.00631096,0.0887377,0.0458822,0.160313,59
69,0.23213244843489556,0.10638895367377921,0.07216441375733407,0.03342317182128551,0.919181,0.0986906,0.247245,35,0.0048351,0.0310183,0.0280498,0.00627841,97
70,0.8365744203440538,0.761099647207615,0.7740422204847537,0.646603611349957,0.991042,0.0894929,0.315942,23,0.0010178,0.0020607,0.0382459,0.46389,31
71,0.7181934228922253,0.6224747108779456,0.5295912415309374,0.3436346059367027,0.960187,0.00136601,0.394698,80,0.00471081,0.00338907,0.0267167,0.126848,57
72,0.7568866111467009,0.8577922077922078,0.8690374353334148,0.7226257734732311,0.989488,0.0869878,0.401761,49,0.000790495,0.0784338,0.0149879,0.286741,67
73,0.7546386484846549,0.9717560714138457,0.9688089961421653,0.7730257757346906,0.992824,0.168313,0.465807,91,0.00310071,0.0111818,0.0158119,0.185569,43
74,0.23418186396927665,0.1008170021893523,0.06960762786037034,0.03322864128822367,0.913047,0.0270432,0.0210975,45,0.00651484,0.0662268,0.0364623,0.0522648,44
75,0.5913392141138734,0.4065067918832802,0.3185327917712131,0.17056231108239694,0.948676,0.0692231,0.321715,51,0.000607939,0.00745052,0.0273131,0.145265,77
76,0.3632988172782997,0.18196970794985146,0.11977428718699978,0.06268495128112594,0.934875,0.0551775,0.117553,89,0.00647692,0.00446934,0.0143197,0.474089,9
77,0.18681390539557463,0.0987370388674943,0.06490835969017517,0.03586887017758211,0.909591,0.045076,0.363082,18,0.00706293,0.071284,0.0128517,0.0380013,64
78,0.7097837680597304,0.71920511773513,0.6099418399151698,0.5359441528864244,0.967526,0.033736,0.410571,2,0.00957808,0.0875315,0.0133186,0.249508,89
79,0.6508247050325067,0.5283760186263097,0.45478364736253996,0.2700890899294548,0.954481,0.0648466,0.0905006,29,0.00125288,0.0697343,0.032577,0.208096,35
80,0.9657511852215138,0.8663715363174291,0.8679600523903078,0.8708659481168805,0.990355,0.139996,0.0458669,52,0.00891019,0.0981528,0.0285465,0.479719,54
81,0.837255846706942,0.7610598899821802,0.8511620240646118,0.6527760654255538,0.996341,0.0311748,0.38433,57,0.00860979,0.067683,0.0319263,0.315186,15
82,0.21097242488173462,0.11322995179777207,0.07290866978755939,0.03480548564180819,0.913356,0.143307,0.433092,53,0.00746365,0.0775948,0.0211659,0.425887,36
83,0.2557462321611168,0.11324235531968663,0.08043273587666744,0.03541006084497389,0.924185,0.0944743,0.0294029,25,0.00895335,0.0431992,0.0122062,0.147832,82
84,0.47265506971122717,0.2240836959689657,0.156147917697801,0.08470172223733374,0.940119,0.131017,0.134979,92,0.00992613,0.0794485,0.0159616,0.388563,52
85,0.7340813751236315,0.556160600297022,0.5533403920150815,0.3888532886413303,0.959001,0.149703,0.263678,46,0.000934698,0.0743613,0.0228891,0.103722,69
86,0.2253128094337924,0.10678206569963034,0.07362983658750533,0.029020039263424557,0.917549,0.146576,0.0769337,78,0.00577873,0.00246669,0.0101885,0.441517,10
