max_value,0.8266613290632506
clusters_found,10
index_set,369
mean_value,0.5605906058179877

experiment,pendigits_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
171,0.7492660795302909,0.852873,0.0403978,0.366537,84,0.00798234,0.991892,0.0187095,0.297858,14,3.81869,0.357353
172,0.6016813450760609,0.824588,0.0639102,0.366206,22,0.00825827,0.106883,0.0733769,0.343962,25,4.24351,0.202207
173,0.6369095276220977,0.837708,0.0147053,0.447342,80,0.00222589,0.957897,0.0950739,0.375811,30,4.52472,0.286159
174,0.600880704563651,0.868729,0.0152116,0.333051,43,0.00987509,0.0811198,0.051794,0.0664841,51,9.12255,0.270665
175,0.6071523885775287,0.833222,0.0766422,0.375541,8,0.00343696,0.383317,0.038878,0.399048,50,12.2506,0.368431
176,0.6724045903389377,0.804424,0.0570439,0.163567,1,0.0065776,0.332837,0.0827811,0.412718,4,8.02256,0.0673294
177,0.20709901254336804,0.83006,0.0973754,0.460027,65,0.00958066,0.0687784,0.0942175,0.206853,72,11.5368,0.0772606
178,0.3888444088604217,0.808387,0.0931194,0.349087,83,0.0071148,0.241536,0.0324194,0.106975,46,10.6382,0.206913
179,0.6425140112089671,0.865062,0.0268567,0.462783,33,0.00886751,0.185846,0.0913173,0.12183,31,9.27933,0.216251
180,0.7445956765412329,0.844894,0.0446697,0.239298,71,0.00114424,0.999921,0.0635782,0.0594502,5,6.76056,0.0184252
181,0.7253803042433947,0.8167,0.0438453,0.317088,34,0.00436414,0.254272,0.0767235,0.445252,26,6.43579,0.204133
182,0.4679743795036029,0.875422,0.0742496,0.167941,26,0.00708343,0.266209,0.0660588,0.193617,86,6.16862,0.0392478
183,0.5455030691219642,0.861037,0.0549581,0.289247,74,0.00121722,0.330936,0.0961761,0.385299,65,13.0977,0.0716241
184,0.6684013877768882,0.851253,0.0349605,0.124413,65,0.00473708,0.299394,0.0291476,0.209151,91,12.543,0.157726
185,0.6350413664264745,0.838797,0.0333895,0.464087,66,0.00344794,0.836533,0.0234787,0.319988,4,5.44486,0.379004
186,0.6657325860688551,0.840383,0.0175098,0.11873,51,0.00745131,0.918018,0.0336671,0.0452618,45,5.58799,0.187694
187,0.38791032826261007,0.812192,0.0827974,0.141625,41,0.00617138,0.42531,0.0153054,0.447584,39,5.67221,0.127295
188,0.5543101147584735,0.876301,0.0557744,0.435915,82,0.00900637,0.539477,0.0570407,0.181476,47,6.91859,0.387524
189,0.6273018414731786,0.814978,0.0737335,0.373807,84,0.00719104,0.309261,0.0837484,0.422511,28,7.50159,0.321535
190,0.670002668801708,0.877467,0.0301336,0.434877,4,0.00301907,0.0781301,0.018382,0.13377,60,8.94762,0.225321
191,0.6313050440352281,0.808744,0.0712344,0.0568362,38,0.00935422,0.355258,0.0888033,0.48544,82,6.63682,0.391629
192,0.5348278622898319,0.82329,0.0661691,0.0528232,78,0.00511347,0.25171,0.0980229,0.265338,32,8.51612,0.146534
193,0.6937550040032026,0.847761,0.025241,0.0590923,8,0.00261128,0.636349,0.0838798,0.0433884,65,3.9042,0.372548
194,0.7108353349346144,0.805323,0.0450446,0.263907,61,0.00273761,0.103358,0.0401786,0.0777235,8,7.70181,0.241225
195,0.6613290632506005,0.836758,0.0337898,0.170397,33,0.00518512,0.143524,0.0670326,0.280366,85,3.4311,0.130089
196,0.5982119028556179,0.825404,0.0107316,0.0442103,20,0.00919333,0.888733,0.0252477,0.270198,52,13.9827,0.161799
197,0.5936749399519616,0.855223,0.064904,0.453343,30,0.00874207,0.526562,0.0899318,0.211983,2,4.86848,0.102802
198,0.4901254336802775,0.860366,0.0874998,0.0829509,38,0.00838908,0.217858,0.0392066,0.189141,87,12.2162,0.2788
199,0.7025620496397118,0.863537,0.0564364,0.337315,44,0.00918437,0.499647,0.0637081,0.497157,59,11.0904,0.191944
200,0.392981051507873,0.808189,0.086955,0.396346,16,0.00880673,0.348505,0.058917,0.0380815,28,14.4179,0.104547
201,0.5987456631972244,0.852988,0.0250554,0.267611,4,0.00161207,0.770093,0.0140717,0.370934,14,4.14524,0.167443
202,0.6706698692287163,0.839156,0.0362747,0.216812,89,0.00735726,0.00685386,0.0249931,0.31365,100,7.19976,0.156929
203,0.7506004803843074,0.803156,0.0543512,0.27613,17,0.00726399,0.294851,0.0444899,0.195676,3,4.3655,0.399024
204,0.6654657058980518,0.862503,0.0598299,0.223003,54,0.00567228,0.73089,0.0189494,0.25968,1,7.84166,0.297172
205,0.46784093941820126,0.876629,0.0764596,0.363882,95,0.000434815,0.0142474,0.0946788,0.294622,55,10.9518,0.0591798
206,0.48985855350947427,0.821671,0.0866423,0.102626,21,0.000930819,0.0619285,0.0645931,0.483403,56,6.06904,0.371106
207,0.4491593274619696,0.803863,0.0740666,0.372013,87,0.00842935,0.299552,0.0835876,0.475501,23,5.84674,0.239197
208,0.5669869228716307,0.878126,0.0116182,0.328647,64,0.000941293,0.709127,0.0894681,0.322576,35,6.09976,0.0736519
209,0.6108887109687751,0.844229,0.0401441,0.0282062,24,0.002718,0.944681,0.0534555,0.386411,29,10.07,0.19672
210,0.6043501467840939,0.879918,0.0322224,0.338552,22,0.00742114,0.614517,0.0758154,0.0244535,76,7.09611,0.0508612
211,0.6378436082199093,0.846279,0.0415567,0.38313,96,0.00227547,0.00537011,0.0263878,0.205798,54,11.0801,0.120555
212,0.20523085134774488,0.858013,0.0816408,0.174296,26,0.00532879,0.231633,0.0182526,0.0560643,11,13.4094,0.0203231
213,0.6704029890579131,0.875735,0.0282203,0.0885301,27,0.000193965,0.333414,0.0321886,0.127682,64,11.3086,0.194299
