max_value,0.9423744154472771,0.999313775947847,0.9957569585879158,1.0,1.0,0.9978597722797705,0.9987044865675713,0.9974672857745884,1.0,0.9966224774128177,1.0,0.9978889963937022,1.0,0.9988604421484464,1.0,1.0,0.9736596009975063,0.9450832072617247,0.9541171018075081,0.7454545454545455,0.6680868609125894,0.6185867895545315
clusters_found,10,10,10,10,10,10,10,10,10,11,42,10,10,10,10,10,10,10,10,8,9,8
index_set,87,256,54,54,43,9,6,11,49,95,38,407,54,54,95,95,256,34,238,423,316,81
mean_value,0.6777275428865657,0.7164485649525084,0.7330434097981445,0.7624722402386697,0.7889816528779316,0.8007810595936847,0.8076632085759942,0.7814935196767288,0.6506790230785836,0.48033846100220007,0.2886328058813257,0.7518331077209098,0.7792303094363442,0.7570665419972017,0.7551438917150113,0.7561956163009023,0.6689085827138048,0.6159369511254603,0.49180970638521665,0.3691272470718319,0.2607806148552431,0.18564920581742975

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
20,0.7892690513219285,0.7340894770006301,0.6169333285821188,0.8451432106853004,0.9550222453154937,0.9610659454824294,0.962099316868103,0.8854166666666666,0.8423159399571123,0.9916820702402958,0.9637955609855426,0.6926552292569754,0.8114575935610218,0.8608937633000491,0.9492229142119732,0.8751923766154365,0.8799830962107339,0.827198093220339,0.6968982630272953,0.4968006398720256,0.4491525423728814,0.3546076882569773,0.984664,0.0173929,0.227825,20,0.00311314,0.0665431,0.0173609,0.240412,84,13.9129,0.295195
21,0.8583402033525693,0.8321428571428572,0.8050700529497212,0.9366353406203364,0.9615799627243894,0.9617479124723588,0.962099316868103,0.9555968942089939,0.9500544201233523,0.9946068930648015,0.893848620369589,0.7982129036797299,0.8394781369667824,0.9551067848321952,0.8858171346292296,0.8412807781943459,0.7106184364060677,0.7688615384615385,0.6367172794578994,0.3751759991335427,0.4474592994573261,0.36826973340303193,0.98816,0.0196596,0.190561,67,0.00495149,0.0288385,0.0158041,0.451508,11,13.2267,0.380199
22,0.859437136739064,0.9680099709181553,0.8854306864064603,0.9917997779106518,0.8968494035278524,0.9978597722797705,0.8964271103231966,0.9974672857745884,0.7164659996608445,0.8424825027405346,0.0,0.8520628936206676,0.8903761705729856,0.997345065614807,0.8920226575407127,0.8887418493299006,0.8590429597920808,0.7016302676099662,0.3641193936552586,0.3875355900031635,0.2914285714285715,0.0,0.990511,0.0487068,0.3568,52,0.0025279,0.0836946,0.0299638,0.212544,92,5.68762,0.230897
23,0.8394227817009519,0.8784148397976391,0.8927294398092968,0.9950295655154683,0.8186326121658798,0.9061724167451417,0.8964271103231966,0.9974672857745884,0.8949864498644986,0.8168262306193341,0.0,0.8114552173147985,0.678123179579516,0.8914893617021277,0.8141022799473971,0.7034344990252472,0.7210041309183349,0.7979610750695088,0.555607917059378,0.3888182973316391,0.31755580180465415,0.09998407896831718,0.991658,0.0495925,0.0532048,53,0.00716604,0.0860223,0.0449924,0.468539,83,5.33642,0.244597
24,0.7842288904396371,0.780621817207183,0.8919124353906962,0.9837329492501906,0.9969489456912333,0.9978597722797705,0.9987044865675713,0.9058498811623092,0.9957748859219199,0.9946068930648015,0.4348009803093045,0.9011835729605211,0.9921065094985002,0.9957588609512269,0.9949423665019995,0.9973572303774355,0.7839006696428572,0.8462349397590361,0.7262363044122002,0.6221464571597983,0.5614801864801865,0.43354383903656923,0.987405,0.0329573,0.429554,12,0.00475858,0.0826711,0.0360043,0.389133,44,14.5852,0.228484
25,0.5979978101048021,0.6873500171408982,0.7394843962008142,0.6379614111984874,0.8464703482045701,0.8158548069514596,0.6381511572335632,0.7197630131189166,0.7189409368635438,0.0,0.0,0.6791241646148435,0.6003819020845489,0.7318983875874658,0.734365764274737,0.730349529063185,0.645486001887386,0.48724853476952323,0.2934436664544876,0.0,0.0,0.0,0.996648,0.0714957,0.247858,89,0.00100949,0.0126883,0.032783,0.201983,61,13.4977,0.126215
26,0.6153272700164008,0.7979871763655547,0.7096920033907883,0.6215276286977802,0.8174761888621496,0.8944439688382844,0.7159827951116269,0.8189662465104475,0.743041412084182,0.004145165383639293,0.0,0.8095028982961532,0.6003819020845489,0.6520383328262853,0.734365764274737,0.6237805024931948,0.712494334491615,0.7119565217391304,0.392445076655603,0.2059842519685039,0.2974083438685209,0.14471214017521905,0.983125,0.0711611,0.260772,94,0.00244485,0.0779169,0.0260055,0.224536,14,12.0478,0.146411
27,0.6538544127120464,0.7601957585644372,0.7780823128950974,0.6391786628499079,0.6600381550892156,0.8944412044568587,0.8950745538988023,0.6572652425456164,0.758984438984439,0.9909327512383511,0.8864064265093511,0.6758205754452851,0.7218669831910249,0.6780989710926016,0.6334431630971993,0.9590620307265797,0.7996299985769176,0.6330554303740423,0.6084108476352679,0.4534883720930233,0.45667825223435954,0.35096307332127274,0.98861,0.0153028,0.029563,29,0.00649945,0.0675601,0.0109315,0.288448,34,5.26329,0.176634
28,0.739532695624902,0.7389183638541845,0.7885820769100458,0.7641096125762392,0.8973068552774756,0.8949897048730268,0.9987044865675713,0.7934828607702074,0.9241344195519349,0.8430512193063877,0.0,0.9874662720863434,0.7050500768374754,0.812072373422533,0.7072940063837333,0.8895123419626731,0.875233644859813,0.6774809160305344,0.4866318620471445,0.3892510733025918,0.31511153000314174,0.3154836683417085,0.995641,0.0503259,0.444141,49,0.00505294,0.0528156,0.036787,0.248851,11,11.4259,0.22107
29,0.5569053708439897,0.6092318232422711,0.5578876100203114,0.6879655543595264,0.5077869967355821,0.7372656450646349,0.6381511572335632,0.7421921286500212,0.0,0.0,0.0,0.6003525782282944,0.9192911821577093,0.7318983875874658,0.5339874689679631,0.5178136969142196,0.6050500238208671,0.6530351437699681,0.556712415207446,0.0,6.396929473853064E-4,0.0,0.99311,0.077591,0.219653,61,0.00748433,0.0640745,0.0138347,0.150969,36,3.61738,0.360308
